# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.200000000    0.000000000    0.000000000    0.000000000
    0.207178631    0.000000000    0.000000000    0.000000000
    0.214357262    0.000000000    0.000000000    0.000000000
    0.221535893    0.000000000    0.000000000    0.000000000
    0.228714524    0.000000000    0.000000000    0.000000000
    0.235893155    0.000000000    0.000000000    0.000000000
    0.243071786    0.000000000    0.000000000    0.000000000
    0.250250417    0.000000000    0.000000000    0.000000000
    0.257429048    0.000000000    0.000000000    0.000000000
    0.264607679    0.000000000    0.000000000    0.000000000
    0.271786311    0.000000000    0.000000000    0.000000000
    0.278964942    0.000000000    0.000000000    0.000000000
    0.286143573    0.000000000    0.000000000    0.000000000
    0.293322204    0.000000000    0.000000000    0.000000000
    0.300500835    0.000000000    0.000000000    0.000000000
    0.307679466    0.000000000    0.000000000    0.000000000
    0.314858097    0.000000000    0.000000000    0.000000000
    0.322036728    0.000000000    0.000000000    0.000000000
    0.329215359    0.000000000    0.000000000    0.000000000
    0.336393990    0.000000000    0.000000000    0.000000000
    0.343572621    0.000000000    0.000000000    0.000000000
    0.350751252    0.000000000    0.000000000    0.000000000
    0.357929883    0.000000000    0.000000000    0.000000000
    0.365108514    0.000000000    0.000000000    0.000000000
    0.372287145    0.000000000    0.000000000    0.000000000
    0.379465776    0.000000000    0.000000000    0.000000000
    0.386644407    0.000000000    0.000000000    0.000000000
    0.393823038    0.000000000    0.000000000    0.000000000
    0.401001669    0.000000000    0.000000000    0.000000000
    0.408180301    0.000000000    0.000000000    0.000000000
    0.415358932    0.000000000    0.000000000    0.000000000
    0.422537563    0.000000000    0.000000000    0.000000000
    0.429716194    0.000000000    0.000000000    0.000000000
    0.436894825    0.000000000    0.000000000    0.000000000
    0.444073456    0.000000000    0.000000000    0.000000000
    0.451252087    0.000000000    0.000000000    0.000000000
    0.458430718    0.000000000    0.000000000    0.000000000
    0.465609349    0.000000000    0.000000000    0.000000000
    0.472787980    0.000000000    0.000000000    0.000000000
    0.479966611    0.000000000    0.000000000    0.000000000
    0.487145242    0.000000000    0.000000000    0.000000000
    0.494323873    0.000000000    0.000000000    0.000000000
    0.501502504    0.000000000    0.000000000    0.000000000
    0.508681135    0.000000000    0.000000000    0.000000000
    0.515859766    0.000000000    0.000000000    0.000000000
    0.523038397    0.000000000    0.000000000    0.000000000
    0.530217028    0.000000000    0.000000000    0.000000000
    0.537395659    0.000000000    0.000000000    0.000000000
    0.544574290    0.000000000    0.000000000    0.000000000
    0.551752922    0.000000000    0.000000000    0.000000000
    0.558931553    0.000000000    0.000000000    0.000000000
    0.566110184    0.000000000    0.000000000    0.000000000
    0.573288815    0.000000000    0.000000000    0.000000000
    0.580467446    0.000000000    0.000000000    0.000000000
    0.587646077    0.000000000    0.000000000    0.000000000
    0.594824708    0.000000000    0.000000000    0.000000000
    0.602003339    0.000000000    0.000000000    0.000000000
    0.609181970    0.000000000    0.000000000    0.000000000
    0.616360601    0.000000000    0.000000000    0.000000000
    0.623539232    0.000000000    0.000000000    0.000000000
    0.630717863    0.000000000    0.000000000    0.000000000
    0.637896494    0.000000000    0.000000000    0.000000000
    0.645075125    0.000000000    0.000000000    0.000000000
    0.652253756    0.000000000    0.000000000    0.000000001
    0.659432387    0.000000001    0.000000002    0.000000010
    0.666611018    0.000000005    0.000000012    0.000000080
    0.673789649    0.000000034    0.000000084    0.000000547
    0.680968280    0.000000206    0.000000511    0.000003341
    0.688146912    0.000001121    0.000002782    0.000018184
    0.695325543    0.000005444    0.000013504    0.000088278
    0.702504174    0.000023567    0.000058463    0.000382182
    0.709682805    0.000090991    0.000225716    0.001475547
    0.716861436    0.000313289    0.000777163    0.005080450
    0.724040067    0.000961967    0.002386311    0.015599728
    0.731218698    0.002634153    0.006534429    0.042716704
    0.738397329    0.006432616    0.015957107    0.104314395
    0.745575960    0.014008770    0.034750934    0.227172920
    0.752754591    0.027206865    0.067490805    0.441199172
    0.759933222    0.047122009    0.116893011    0.764150025
    0.767111853    0.072784470    0.180550338    1.180289135
    0.774290484    0.100261449    0.248698930    1.625788678
    0.781469115    0.123182834    0.305503018    1.997128299
    0.788647746    0.135033550    0.334675210    2.187837583
    0.795826377    0.132249306    0.326963923    2.137447454
    0.803005008    0.116307323    0.284872952    1.862354377
    0.810183639    0.093574250    0.221362309    1.447350286
    0.817362270    0.073281204    0.153446124    1.003805103
    0.824540902    0.065108639    0.094969126    0.622475787
    0.831719533    0.077395473    0.052649909    0.347628465
    0.838898164    0.115564035    0.026463930    0.179436034
    0.846076795    0.179761626    0.012580395    0.092959712
    0.853255426    0.262014673    0.006375756    0.057599657
    0.860434057    0.345300785    0.004154444    0.048244166
    0.867612688    0.407316710    0.003573549    0.048266593
    0.874791319    0.428898592    0.003394554    0.048425220
    0.881969950    0.402859838    0.003097381    0.044892079
    0.889148581    0.337480280    0.002574636    0.037475817
    0.896327212    0.252125277    0.001919572    0.027971781
    0.903505843    0.167978111    0.001278572    0.018631687
    0.910684474    0.099806710    0.000761490    0.011069784
    0.917863105    0.052889941    0.000412816    0.005866981
    0.925041736    0.025016217    0.000235505    0.002779050
    0.932220367    0.010634122    0.000255346    0.001197005
    0.939398998    0.004313673    0.000633381    0.000539013
    0.946577629    0.002419848    0.001862268    0.000454417
    0.953756260    0.003390462    0.005074287    0.000885399
    0.960934891    0.007416354    0.012383546    0.002066282
    0.968113523    0.015944431    0.026964086    0.004476676
    0.975292154    0.030919380    0.052361799    0.008688534
    0.982470785    0.053537934    0.090680033    0.015045882
    0.989649416    0.082683292    0.140047336    0.023236892
    0.996828047    0.113879881    0.192887408    0.032004199
    1.004006678    0.139877120    0.236918362    0.039309983
    1.011185309    0.153225582    0.259513172    0.043059477
    1.018363940    0.149718063    0.253504730    0.042064988
    1.025542571    0.130596703    0.220840815    0.036655344
    1.032721202    0.102101026    0.171570395    0.028516683
    1.039899833    0.072900789    0.118874942    0.019890490
    1.047078464    0.051538016    0.073467937    0.012690235
    1.054257095    0.045796995    0.040535349    0.008065828
    1.061435726    0.064068522    0.020051919    0.006528260
    1.068614357    0.116630032    0.009091348    0.008327814
    1.075792988    0.213856418    0.004216988    0.013654900
    1.082971619    0.359804229    0.002925802    0.022435925
    1.090150250    0.543456287    0.004246291    0.033881024
    1.097328881    0.734126109    0.009158177    0.046277033
    1.104507513    0.887947576    0.021388266    0.057535570
    1.111686144    0.966136087    0.048488055    0.066535025
    1.118864775    0.955823235    0.102096935    0.074528363
    1.126043406    0.879205473    0.195475068    0.085409114
    1.133222037    0.782729133    0.336903063    0.104011073
    1.140400668    0.711690185    0.520376064    0.132887234
    1.147579299    0.686153398    0.719151962    0.169444275
    1.154757930    0.693170278    0.889348158    0.205763195
    1.161936561    0.699028032    0.986157698    0.232137174
    1.169115192    0.672252319    0.985733230    0.242743857
    1.176293823    0.602185809    0.899027537    0.239766072
    1.183472454    0.502483818    0.767302614    0.232675026
    1.190651085    0.399854627    0.641372195    0.232528913
    1.197829716    0.317645866    0.557927898    0.244844246
    1.205008347    0.265251826    0.527213858    0.265914152
    1.212186978    0.238188210    0.536875573    0.285153879
    1.219365609    0.225822851    0.565420395    0.291770984
    1.226544240    0.219877374    0.594162616    0.281065095
    1.233722871    0.218385330    0.611042450    0.256284551
    1.240901503    0.224139720    0.608139372    0.225544944
    1.248080134    0.240113755    0.579308923    0.196724698
    1.255258765    0.265172884    0.521761798    0.173849171
    1.262437396    0.292370140    0.439466856    0.156487073
    1.269616027    0.310660374    0.343693769    0.141435615
    1.276794658    0.309410341    0.248994814    0.125136495
    1.283973289    0.283538638    0.167421278    0.105608549
    1.291151920    0.236291875    0.104954208    0.083257197
    1.298330551    0.177790300    0.061640653    0.060421274
    1.305509182    0.120245494    0.034035251    0.040086193
    1.312687813    0.072931956    0.017776575    0.024650071
    1.319866444    0.039715105    0.009162953    0.015573941
    1.327045075    0.019726819    0.005782243    0.014163489
    1.334223706    0.009762639    0.006660240    0.023018000
    1.341402337    0.006549167    0.012172761    0.047150288
    1.348580968    0.007868104    0.023620785    0.093506831
    1.355759599    0.012523355    0.042250764    0.167869512
    1.362938230    0.019661352    0.067777615    0.269455676
    1.370116861    0.028049237    0.097054425    0.385887108
    1.377295492    0.035802109    0.123959833    0.492869735
    1.384474124    0.040776380    0.141198723    0.561406740
    1.391652755    0.041422668    0.143443030    0.570296123
    1.398831386    0.037535694    0.129999357    0.516701640
    1.406010017    0.030367419    0.105235686    0.417722672
    1.413188648    0.022026723    0.076544954    0.301971533
    1.420367279    0.014607022    0.051396133    0.197169221
    1.427545910    0.009625439    0.035478299    0.121663615
    1.434724541    0.008048712    0.032781028    0.083553008
    1.441903172    0.010730127    0.046748707    0.085075044
    1.449081803    0.018829309    0.080717109    0.126864631
    1.456260434    0.033833221    0.136320615    0.207996308
    1.463439065    0.057038693    0.210248866    0.321757413
    1.470617696    0.088651380    0.291673095    0.451125465
    1.477796327    0.126896257    0.363290605    0.569256683
    1.484974958    0.167638807    0.407062419    0.647360207
    1.492153589    0.204921779    0.412125354    0.666568379
    1.499332220    0.232500184    0.379964667    0.626433860
    1.506510851    0.245951996    0.323278783    0.544460801
    1.513689482    0.244460722    0.259310660    0.447394737
    1.520868114    0.231286991    0.202105478    0.360193410
    1.528046745    0.212550170    0.158232646    0.298551495
    1.535225376    0.194993004    0.127465534    0.266988331
    1.542404007    0.184112357    0.106626352    0.261175636
    1.549582638    0.183681482    0.093547585    0.272409144
    1.556761269    0.196392096    0.088988301    0.292480124
    1.563939900    0.224211709    0.096090042    0.317070722
    1.571118531    0.267293626    0.118321848    0.345862128
    1.578297162    0.321944461    0.157323858    0.379259541
    1.585475793    0.379714759    0.211689917    0.414331477
    1.592654424    0.429314722    0.276941503    0.443516164
    1.599833055    0.460766747    0.346332124    0.457398238
    1.607011686    0.469203980    0.412114058    0.449398631
    1.614190317    0.456078569    0.467220661    0.418932556
    1.621368948    0.427703234    0.507140152    0.371361071
    1.628547579    0.392609919    0.530958251    0.315584195
    1.635726210    0.358982889    0.540386562    0.261035016
    1.642904841    0.332561481    0.537116348    0.215240349
    1.650083472    0.315285133    0.520800202    0.182502410
    1.657262104    0.305277552    0.489831745    0.164120303
    1.664440735    0.298473480    0.444479360    0.160189244
    1.671619366    0.291202572    0.389560511    0.172030873
    1.678797997    0.282258247    0.334241248    0.203447065
    1.685976628    0.273112831    0.288990205    0.259229419
    1.693155259    0.266040073    0.261575595    0.340927155
    1.700333890    0.261443979    0.254056668    0.442007304
    1.707512521    0.256589065    0.261885984    0.545796098
    1.714691152    0.247116191    0.275507308    0.628701433
    1.721869783    0.230471039    0.284109565    0.668238683
    1.729048414    0.208589690    0.280186573    0.652123242
    1.736227045    0.187660076    0.262782189    0.583544993
    1.743405676    0.175117506    0.237661002    0.479730524
    1.750584307    0.176043753    0.214245232    0.364770152
    1.757762938    0.191200143    0.201009097    0.260806948
    1.764941569    0.217447399    0.201843893    0.182009340
    1.772120200    0.249815893    0.215165518    0.133326199
    1.779298831    0.283896832    0.235775335    0.112875263
    1.786477462    0.317371676    0.257887457    0.115238892
    1.793656093    0.350005676    0.277372177    0.133695579
    1.800834725    0.382228376    0.292370449    0.161352626
    1.808013356    0.413307988    0.303030987    0.192386691
    1.815191987    0.440461822    0.311628738    0.224094861
    1.822370618    0.459596666    0.323113396    0.258769680
    1.829549249    0.467186470    0.344512198    0.303262987
    1.836727880    0.462028677    0.381705848    0.364985105
    1.843906511    0.445818770    0.434494117    0.445819413
    1.851085142    0.422390280    0.493518901    0.537912140
    1.858263773    0.396337200    0.542523638    0.624988109
    1.865442404    0.371895803    0.565785911    0.689207224
    1.872621035    0.352390285    0.556173101    0.719265570
    1.879799666    0.339967151    0.518305268    0.714396642
    1.886978297    0.335436294    0.465024128    0.682404970
    1.894156928    0.338515149    0.410433850    0.634624407
    1.901335559    0.348694042    0.364581368    0.582135905
    1.908514190    0.366083555    0.332282313    0.534808280
    1.915692821    0.391052526    0.314830532    0.501380092
    1.922871452    0.422344546    0.311870230    0.488497193
    1.930050083    0.455137878    0.321931557    0.498838119
    1.937228715    0.481210443    0.341929809    0.529946962
    1.944407346    0.491856269    0.366678682    0.574637787
    1.951585977    0.481797191    0.389252968    0.622474606
    1.958764608    0.451465584    0.402502748    0.661728929
    1.965943239    0.406446690    0.401337289    0.681863585
    1.973121870    0.354990192    0.384689335    0.676388085
    1.980300501    0.305499036    0.355967958    0.644960974
    1.987479132    0.265462430    0.321724724    0.593544094
    1.994657763    0.242143593    0.289475267    0.532763524
    2.001836394    0.244025160    0.265899100    0.475743495
    2.009015025    0.280965142    0.255788834    0.436066603
    2.016193656    0.361090609    0.261273260    0.425118003
    2.023372287    0.484518905    0.281003285    0.448101647
    2.030550918    0.637418249    0.309819664    0.499992622
    2.037729549    0.791939607    0.339777670    0.564577097
    2.044908180    0.915134392    0.362747278    0.619065281
    2.052086811    0.983377675    0.373661569    0.643271610
    2.059265442    0.993139710    0.372763533    0.628566073
    2.066444073    0.960251232    0.365455214    0.581074635
    2.073622705    0.908311407    0.359529435    0.517090775
    2.080801336    0.855199854    0.361045279    0.453868183
    2.087979967    0.806914931    0.370980320    0.401776530
    2.095158598    0.760522822    0.384448681    0.362195386
    2.102337229    0.710906449    0.392934238    0.331205240
    2.109515860    0.655575003    0.388502212    0.305587720
    2.116694491    0.596130681    0.368076948    0.287018085
    2.123873122    0.537927835    0.335864850    0.282256857
    2.131051753    0.488707581    0.302769495    0.299813838
    2.138230384    0.455694732    0.282925284    0.345324270
    2.145409015    0.441761571    0.288750485    0.418111175
    2.152587646    0.443374170    0.326530684    0.510447998
    2.159766277    0.452742648    0.394164878    0.609689101
    2.166944908    0.463315159    0.481662795    0.702405558
    2.174123539    0.474580005    0.573955978    0.779184821
    2.181302170    0.492330740    0.655031978    0.838604347
    2.188480801    0.524124388    0.712270417    0.888778324
    2.195659432    0.573484473    0.739839295    0.944935084
    2.202838063    0.637183772    0.740031907    1.022391773
    2.210016694    0.707230974    0.721863422    1.126634906
    2.217195326    0.775639538    0.697379996    1.245302587
    2.224373957    0.838759532    0.677384962    1.348218060
    2.231552588    0.899349243    0.668483094    1.398517945
    2.238731219    0.966313257    0.672133469    1.370662820
    2.245909850    1.052048868    0.685013514    1.264745199
    2.253088481    1.166503381    0.699915770    1.107304541
    2.260267112    1.308201826    0.707434249    0.937702682
    2.267445743    1.456519967    0.699159946    0.789192280
    2.274624374    1.572741862    0.672034896    0.676692093
    2.281803005    1.614599215    0.631957252    0.597167322
    2.288981636    1.559386668    0.594380879    0.539369074
    2.296160267    1.421593595    0.580833618    0.494722915
    2.303338898    1.251688444    0.611920156    0.462635027
    2.310517529    1.114737902    0.698683902    0.448599939
    2.317696160    1.061622402    0.835385673    0.458191702
    2.324874791    1.110141562    0.997687260    0.491852564
    2.332053422    1.245177724    1.149239361    0.543922004
    2.339232053    1.433566498    1.255306539    0.605768672
    2.346410684    1.641017134    1.296443603    0.669739621
    2.353589316    1.840859913    1.273802016    0.730530834
    2.360767947    2.014122029    1.203320480    0.783733049
    2.367946578    2.147948883    1.104487856    0.824616261
    2.375125209    2.237730869    0.992566260    0.850059203
    2.382303840    2.290278769    0.878317179    0.862824568
    2.389482471    2.321031011    0.771852855    0.873958066
    2.396661102    2.343640949    0.684581835    0.899615949
    2.403839733    2.359927055    0.626808060    0.952833136
    2.411018364    2.360445737    0.603590423    1.034991645
    2.418196995    2.336338945    0.612865185    1.132603739
    2.425375626    2.290766198    0.647125986    1.221938618
    2.432554257    2.237164120    0.696782653    1.279252391
    2.439732888    2.184649075    0.752918640    1.291066623
    2.446911519    2.124981202    0.809018566    1.259039298
    2.454090150    2.035282554    0.862298924    1.197243033
    2.461268781    1.895859911    0.914163550    1.124026608
    2.468447412    1.708230155    0.968183866    1.053457051
    2.475626043    1.498613850    1.025547142    0.990959154
    2.482804674    1.305094306    1.081182472    0.934582944
    2.489983306    1.159035519    1.124710365    0.879680000
    2.497161937    1.073172881    1.146797877    0.823257312
    2.504340568    1.041496534    1.146368548    0.765639878
    2.511519199    1.047676653    1.132607260    0.709719843
    2.518697830    1.075019617    1.119658205    0.659758762
    2.525876461    1.112231555    1.117928724    0.621450765
    2.533055092    1.153376985    1.128777670    0.603321054
    2.540233723    1.194592662    1.146704618    0.617745603
    2.547412354    1.231545620    1.167031295    0.679072159
    2.554590985    1.259249616    1.192290576    0.797379211
    2.561769616    1.272449655    1.231255825    0.969510634
    2.568948247    1.264694132    1.290749933    1.172688177
    2.576126878    1.227653359    1.367023050    1.367028867
    2.583305509    1.154166191    1.444437987    1.509200017
    2.590484140    1.045169976    1.503320781    1.571930094
    2.597662771    0.915382309    1.531517975    1.559019563
    2.604841402    0.791908533    1.531913276    1.507630958
    2.612020033    0.705173109    1.522053523    1.477319072
    2.619198664    0.677247557    1.527679853    1.531711420
    2.626377295    0.713549229    1.574399900    1.719235262
    2.633555927    0.800739133    1.679977696    2.055983989
    2.640734558    0.910659957    1.847006886    2.512744616
    2.647913189    1.009115518    2.056167190    3.011632172
    2.655091820    1.067390789    2.264165031    3.440459286
    2.662270451    1.072367050    2.412716372    3.687342763
    2.669449082    1.030064362    2.449967561    3.684202530
    2.676627713    0.960359150    2.355398045    3.436906409
    2.683806344    0.886376899    2.153212453    3.024136384
    2.690984975    0.825555202    1.904962804    2.565766351
    2.698163606    0.787116099    1.685581930    2.179495040
    2.705342237    0.775006572    1.556377405    1.947205140
    2.712520868    0.791812769    1.546993860    1.900564969
    2.719699499    0.840389015    1.650252536    2.022039039
    2.726878130    0.923432435    1.828092269    2.254054809
    2.734056761    1.042767775    2.026780137    2.514516536
    2.741235392    1.198557662    2.200227944    2.720974200
    2.748414023    1.386874207    2.335893515    2.821067539
