# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000    1.129770623    8.296388323    8.539257794
    0.207178631    1.129717812    8.294601470    8.537295082
    0.214357262    1.129663236    8.292752684    8.535264500
    0.221535893    1.129606905    8.290842076    8.533166186
    0.228714524    1.129548830    8.288869758    8.531000278
    0.235893155    1.129489021    8.286835848    8.528766923
    0.243071786    1.129427487    8.284740466    8.526466268
    0.250250417    1.129364240    8.282583735    8.524098467
    0.257429048    1.129299291    8.280365782    8.521663676
    0.264607679    1.129232649    8.278086738    8.519162057
    0.271786311    1.129164328    8.275746736    8.516593774
    0.278964942    1.129094337    8.273345914    8.513958997
    0.286143573    1.129022689    8.270884411    8.511257897
    0.293322204    1.128949396    8.268362372    8.508490652
    0.300500835    1.128874469    8.265779941    8.505657443
    0.307679466    1.128797920    8.263137271    8.502758452
    0.314858097    1.128719762    8.260434513    8.499793868
    0.322036728    1.128640008    8.257671823    8.496763882
    0.329215359    1.128558669    8.254849361    8.493668689
    0.336393990    1.128475759    8.251967289    8.490508488
    0.343572621    1.128391290    8.249025772    8.487283481
    0.350751252    1.128305276    8.246024979    8.483993874
    0.357929883    1.128217729    8.242965080    8.480639876
    0.365108514    1.128128662    8.239846249    8.477221698
    0.372287145    1.128038089    8.236668665    8.473739557
    0.379465776    1.127946023    8.233432506    8.470193671
    0.386644407    1.127852478    8.230137955    8.466584264
    0.393823038    1.127757467    8.226785198    8.462911559
    0.401001669    1.127661004    8.223374422    8.459175786
    0.408180301    1.127563101    8.219905820    8.455377177
    0.415358932    1.127463774    8.216379584    8.451515965
    0.422537563    1.127363035    8.212795911    8.447592389
    0.429716194    1.127260899    8.209155000    8.443606690
    0.436894825    1.127157379    8.205457052    8.439559110
    0.444073456    1.127052488    8.201702272    8.435449896
    0.451252087    1.126946242    8.197890865    8.431279297
    0.458430718    1.126838654    8.194023042    8.427047565
    0.465609349    1.126729737    8.190099013    8.422754956
    0.472787980    1.126619506    8.186118994    8.418401725
    0.479966611    1.126507975    8.182083199    8.413988133
    0.487145242    1.126395157    8.177991848    8.409514443
    0.494323873    1.126281066    8.173845162    8.404980919
    0.501502504    1.126165716    8.169643364    8.400387829
    0.508681135    1.126049121    8.165386681    8.395735443
    0.515859766    1.125931296    8.161075338    8.391024033
    0.523038397    1.125812252    8.156709568    8.386253874
    0.530217028    1.125692006    8.152289601    8.381425244
    0.537395659    1.125570569    8.147815673    8.376538420
    0.544574290    1.125447957    8.143288019    8.371593685
    0.551752922    1.125324182    8.138706878    8.366591323
    0.558931553    1.125199258    8.134072490    8.361531619
    0.566110184    1.125073199    8.129385098    8.356414860
    0.573288815    1.124946018    8.124644946    8.351241338
    0.580467446    1.124817729    8.119852281    8.346011344
    0.587646077    1.124688345    8.115007350    8.340725171
    0.594824708    1.124557880    8.110110404    8.335383117
    0.602003339    1.124426347    8.105161694    8.329985477
    0.609181970    1.124293758    8.100161474    8.324532552
    0.616360601    1.124160128    8.095110000    8.319024644
    0.623539232    1.124025468    8.090007529    8.313462054
    0.630717863    1.123889793    8.084854318    8.307845089
    0.637896494    1.123753115    8.079650630    8.302174054
    0.645075125    1.123615447    8.074396725    8.296449258
    0.652253756    1.123476802    8.069092867    8.290671010
    0.659432387    1.123337192    8.063739323    8.284839621
    0.666611018    1.123196630    8.058336357    8.278955405
    0.673789649    1.123055128    8.052884239    8.273018675
    0.680968280    1.122912699    8.047383239    8.267029748
    0.688146912    1.122769356    8.041833626    8.260988940
    0.695325543    1.122625110    8.036235675    8.254896570
    0.702504174    1.122479974    8.030589658    8.248752957
    0.709682805    1.122333959    8.024895851    8.242558423
    0.716861436    1.122187079    8.019154530    8.236313289
    0.724040067    1.122039343    8.013365974    8.230017881
    0.731218698    1.121890766    8.007530460    8.223672521
    0.738397329    1.121741357    8.001648270    8.217277536
    0.745575960    1.121591129    7.995719684    8.210833254
    0.752754591    1.121440093    7.989744986    8.204340001
    0.759933222    1.121288261    7.983724459    8.197798107
    0.767111853    1.121135644    7.977658387    8.191207903
    0.774290484    1.120982253    7.971547056    8.184569718
    0.781469115    1.120828099    7.965390754    8.177883886
    0.788647746    1.120673194    7.959189768    8.171150738
    0.795826377    1.120517548    7.952944387    8.164370609
    0.803005008    1.120361172    7.946654900    8.157543833
    0.810183639    1.120204077    7.940321598    8.150670745
    0.817362270    1.120046273    7.933944773    8.143751681
    0.824540902    1.119887772    7.927524717    8.136786979
    0.831719533    1.119728584    7.921061723    8.129776976
    0.838898164    1.119568718    7.914556085    8.122722009
    0.846076795    1.119408186    7.908008098    8.115622418
    0.853255426    1.119246997    7.901418057    8.108478541
    0.860434057    1.119085162    7.894786259    8.101290719
    0.867612688    1.118922690    7.888113000    8.094059293
    0.874791319    1.118759592    7.881398578    8.086784602
    0.881969950    1.118595876    7.874643290    8.079466989
    0.889148581    1.118431554    7.867847436    8.072106796
    0.896327212    1.118266635    7.861011315    8.064704363
    0.903505843    1.118101128    7.854135227    8.057260035
    0.910684474    1.117935042    7.847219472    8.049774153
    0.917863105    1.117768388    7.840264350    8.042247062
    0.925041736    1.117601174    7.833270163    8.034679105
    0.932220367    1.117433409    7.826237213    8.027070624
    0.939398998    1.117265103    7.819165801    8.019421966
    0.946577629    1.117096264    7.812056231    8.011733472
    0.953756260    1.116926903    7.804908805    8.004005489
    0.960934891    1.116757026    7.797723826    7.996238359
    0.968113523    1.116586644    7.790501598    7.988432429
    0.975292154    1.116415764    7.783242424    7.980588041
    0.982470785    1.116244396    7.775946608    7.972705542
    0.989649416    1.116072548    7.768614454    7.964785275
    0.996828047    1.115900228    7.761246268    7.956827586
    1.004006678    1.115727445    7.753842352    7.948832818
    1.011185309    1.115554207    7.746403013    7.940801317
    1.018363940    1.115380522    7.738928554    7.932733426
