# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.200000000   13.532836062   15.003544732   15.410126494
    0.207178631   13.529351875   14.999515538   15.406005969
    0.214357262   13.525746975   14.995346830   15.401742758
    0.221535893   13.522021583   14.991038872   15.397337130
    0.228714524   13.518175927   14.986591937   15.392789362
    0.235893155   13.514210242   14.982006304   15.388099739
    0.243071786   13.510124768   14.977282263   15.383268554
    0.250250417   13.505919756   14.972420109   15.378296112
    0.257429048   13.501595460   14.967420148   15.373182722
    0.264607679   13.497152144   14.962282695   15.367928704
    0.271786311   13.492590077   14.957008071   15.362534387
    0.278964942   13.487909536   14.951596605   15.357000106
    0.286143573   13.483110804   14.946048637   15.351326206
    0.293322204   13.478194171   14.940364512   15.345513040
    0.300500835   13.473159934   14.934544585   15.339560968
    0.307679466   13.468008397   14.928589218   15.333470360
    0.314858097   13.462739869   14.922498781   15.327241593
    0.322036728   13.457354668   14.916273652   15.320875052
    0.329215359   13.451853117   14.909914218   15.314371130
    0.336393990   13.446235545   14.903420870   15.307730227
    0.343572621   13.440502290   14.896794011   15.300952754
    0.350751252   13.434653694   14.890034049   15.294039125
    0.357929883   13.428690105   14.883141401   15.286989765
    0.365108514   13.422611879   14.876116491   15.279805106
    0.372287145   13.416419378   14.868959748   15.272485588
    0.379465776   13.410112970   14.861671613   15.265031656
    0.386644407   13.403693027   14.854252531   15.257443766
    0.393823038   13.397159931   14.846702954   15.249722378
    0.401001669   13.390514067   14.839023344   15.241867962
    0.408180301   13.383755828   14.831214166   15.233880993
    0.415358932   13.376885610   14.823275896   15.225761955
    0.422537563   13.369903817   14.815209013   15.217511338
    0.429716194   13.362810860   14.807014007   15.209129638
    0.436894825   13.355607152   14.798691372   15.200617360
    0.444073456   13.348293116   14.790241608   15.191975016
    0.451252087   13.340869176   14.781665225   15.183203121
    0.458430718   13.333335766   14.772962736   15.174302201
    0.465609349   13.325693323   14.764134663   15.165272787
    0.472787980   13.317942288   14.755181533   15.156115415
    0.479966611   13.310083111   14.746103879   15.146830630
    0.487145242   13.302116245   14.736902242   15.137418982
    0.494323873   13.294042149   14.727577166   15.127881028
    0.501502504   13.285861286   14.718129206   15.118217328
    0.508681135   13.277574124   14.708558918   15.108428454
    0.515859766   13.269181139   14.698866866   15.098514979
    0.523038397   13.260682808   14.689053620   15.088477483
    0.530217028   13.252079615   14.679119757   15.078316554
    0.537395659   13.243372050   14.669065856   15.068032783
    0.544574290   13.234560604   14.658892504   15.057626770
    0.551752922   13.225645776   14.648600295   15.047099116
    0.558931553   13.216628068   14.638189824   15.036450431
    0.566110184   13.207507987   14.627661696   15.025681330
    0.573288815   13.198286045   14.617016519   15.014792433
    0.580467446   13.188962758   14.606254905   15.003784364
    0.587646077   13.179538645   14.595377473   14.992657754
    0.594824708   13.170014231   14.584384846   14.981413237
    0.602003339   13.160390045   14.573277653   14.970051455
    0.609181970   13.150666620   14.562056526   14.958573053
    0.616360601   13.140844491   14.550722103   14.946978680
    0.623539232   13.130924200   14.539275027   14.935268990
    0.630717863   13.120906291   14.527715943   14.923444645
    0.637896494   13.110791312   14.516045504   14.911506306
    0.645075125   13.100579816   14.504264365   14.899454643
    0.652253756   13.090272359   14.492373186   14.887290328
    0.659432387   13.079869499   14.480372630   14.875014038
    0.666611018   13.069371800   14.468263367   14.862626454
    0.673789649   13.058779827   14.456046067   14.850128261
    0.680968280   13.048094152   14.443721408   14.837520148
    0.688146912   13.037315345   14.431290068   14.824802809
    0.695325543   13.026443985   14.418752732   14.811976940
    0.702504174   13.015480650   14.406110086   14.799043242
    0.709682805   13.004425922   14.393362821   14.786002419
    0.716861436   12.993280388   14.380511632   14.772855178
    0.724040067   12.982044634   14.367557216   14.759602232
    0.731218698   12.970719254   14.354500274   14.746244293
    0.738397329   12.959304840   14.341341509   14.732782081
    0.745575960   12.947801990   14.328081630   14.719216316
    0.752754591   12.936211302   14.314721345   14.705547723
    0.759933222   12.924533379   14.301261369   14.691777027
    0.767111853   12.912768826   14.287702417   14.677904960
    0.774290484   12.900918248   14.274045207   14.663932254
    0.781469115   12.888982256   14.260290461   14.649859644
    0.788647746   12.876961460   14.246438903   14.635687868
    0.795826377   12.864856474   14.232491259   14.621417668
    0.803005008   12.852667915   14.218448258   14.607049786
    0.810183639   12.840396400   14.204310630   14.592584968
    0.817362270   12.828042548   14.190079110   14.578023962
    0.824540902   12.815606982   14.175754432   14.563367516
    0.831719533   12.803090325   14.161337334   14.548616385
    0.838898164   12.790493203   14.146828555   14.533771321
    0.846076795   12.777816241   14.132228837   14.518833080
    0.853255426   12.765060070   14.117538922   14.503802421
    0.860434057   12.752225320   14.102759556   14.488680102
    0.867612688   12.739312621   14.087891484   14.473466886
    0.874791319   12.726322608   14.072935455   14.458163534
    0.881969950   12.713255914   14.057892218   14.442770812
    0.889148581   12.700113175   14.042762523   14.427289484
    0.896327212   12.686895029   14.027547123   14.411720319
    0.903505843   12.673602113   14.012246770   14.396064083
    0.910684474   12.660235066   13.996862220   14.380321547
    0.917863105   12.646794529   13.981394226   14.364493481
    0.925041736   12.633281143   13.965843547   14.348580657
    0.932220367   12.619695549   13.950210938   14.332583846
    0.939398998   12.606038391   13.934497158   14.316503823
    0.946577629   12.592310311   13.918702966   14.300341360
    0.953756260   12.578511954   13.902829120   14.284097233
    0.960934891   12.564643966   13.886876381   14.267772217
    0.968113523   12.550706989   13.870845509   14.251367088
    0.975292154   12.536701672   13.854737265   14.234882621
    0.982470785   12.522628660   13.838552409   14.218319594
    0.989649416   12.508488598   13.822291703   14.201678782
    0.996828047   12.494282135   13.805955909   14.184960963
    1.004006678   12.480009917   13.789545788   14.168166914
    1.011185309   12.465672591   13.773062102   14.151297412
    1.018363940   12.451270805   13.756505611   14.134353234
    1.025542571   12.436805205   13.739877079   14.117335157
    1.032721202   12.422276439   13.723177265   14.100243957
    1.039899833   12.407685154   13.706406932   14.083080412
    1.047078464   12.393031998   13.689566838   14.065845297
    1.054257095   12.378317616   13.672657746   14.048539389
    1.061435726   12.363542655   13.655680414   14.031163462
    1.068614357   12.348707763   13.638635601   14.013718291
    1.075792988   12.333813583   13.621524067   13.996204650
    1.082971619   12.318860762   13.604346568   13.978623314
    1.090150250   12.303849945   13.587103863   13.960975054
