# energy grid [eV]     epsr_x  epsr_y  epsr_z
#
    0.200000000   13.932258754   10.871396137   12.124467758
    0.207178631   13.935303042   10.873542095   12.126966110
    0.214357262   13.938456285   10.875764768   12.129553821
    0.221535893   13.941718650   10.878064265   12.132231023
    0.228714524   13.945090312   10.880440700   12.134997853
    0.235893155   13.948571453   10.882894190   12.137854454
    0.243071786   13.952162260   10.885424858   12.140800972
    0.250250417   13.955862925   10.888032827   12.143837559
    0.257429048   13.959673648   10.890718228   12.146964371
    0.264607679   13.963594633   10.893481193   12.150181570
    0.271786311   13.967626094   10.896321861   12.153489321
    0.278964942   13.971768246   10.899240372   12.156887795
    0.286143573   13.976021314   10.902236871   12.160377168
    0.293322204   13.980385528   10.905311508   12.163957620
    0.300500835   13.984861125   10.908464436   12.167629337
    0.307679466   13.989448346   10.911695812   12.171392510
    0.314858097   13.994147442   10.915005799   12.175247333
    0.322036728   13.998958668   10.918394561   12.179194008
    0.329215359   14.003882285   10.921862269   12.183232739
    0.336393990   14.008918563   10.925409097   12.187363738
    0.343572621   14.014067775   10.929035222   12.191587220
    0.350751252   14.019330204   10.932740827   12.195903405
    0.357929883   14.024706137   10.936526098   12.200312519
    0.365108514   14.030195869   10.940391227   12.204814794
    0.372287145   14.035799702   10.944336409   12.209410466
    0.379465776   14.041517943   10.948361843   12.214099776
    0.386644407   14.047350907   10.952467733   12.218882972
    0.393823038   14.053298917   10.956654287   12.223760304
    0.401001669   14.059362300   10.960921717   12.228732031
    0.408180301   14.065541393   10.965270242   12.233798416
    0.415358932   14.071836537   10.969700081   12.238959726
    0.422537563   14.078248081   10.974211462   12.244216236
    0.429716194   14.084776383   10.978804614   12.249568225
    0.436894825   14.091421807   10.983479773   12.255015978
    0.444073456   14.098184722   10.988237179   12.260559785
    0.451252087   14.105065507   10.993077075   12.266199941
    0.458430718   14.112064547   10.997999710   12.271936750
    0.465609349   14.119182235   11.003005338   12.277770517
    0.472787980   14.126418971   11.008094218   12.283701557
    0.479966611   14.133775162   11.013266613   12.289730188
    0.487145242   14.141251225   11.018522789   12.295856736
    0.494323873   14.148847580   11.023863021   12.302081530
    0.501502504   14.156564660   11.029287585   12.308404908
    0.508681135   14.164402901   11.034796764   12.314827213
    0.515859766   14.172362750   11.040390846   12.321348792
    0.523038397   14.180444660   11.046070123   12.327970002
    0.530217028   14.188649094   11.051834892   12.334691202
    0.537395659   14.196976521   11.057685457   12.341512760
    0.544574290   14.205427419   11.063622123   12.348435051
    0.551752922   14.214002274   11.069645206   12.355458452
    0.558931553   14.222701579   11.075755022   12.362583352
    0.566110184   14.231525839   11.081951895   12.369810142
    0.573288815   14.240475563   11.088236154   12.377139221
    0.580467446   14.249551271   11.094608132   12.384570996
    0.587646077   14.258753491   11.101068169   12.392105878
    0.594824708   14.268082761   11.107616609   12.399744287
    0.602003339   14.277539624   11.114253804   12.407486649
    0.609181970   14.287124636   11.120980109   12.415333395
    0.616360601   14.296838360   11.127795886   12.423284966
    0.623539232   14.306681368   11.134701501   12.431341808
    0.630717863   14.316654241   11.141697328   12.439504375
    0.637896494   14.326757569   11.148783745   12.447773127
    0.645075125   14.336991954   11.155961137   12.456148531
    0.652253756   14.347358003   11.163229895   12.464631064
    0.659432387   14.357856335   11.170590414   12.473221207
    0.666611018   14.368487580   11.178043097   12.481919449
    0.673789649   14.379252375   11.185588353   12.490726289
    0.680968280   14.390151367   11.193226595   12.499642231
    0.688146912   14.401185216   11.200958246   12.508667787
    0.695325543   14.412354588   11.208783732   12.517803478
    0.702504174   14.423660161   11.216703485   12.527049831
    0.709682805   14.435102625   11.224717948   12.536407383
    0.716861436   14.446682677   11.232827564   12.545876676
    0.724040067   14.458401028   11.241032788   12.555458264
    0.731218698   14.470258396   11.249334078   12.565152706
    0.738397329   14.482255513   11.257731901   12.574960570
    0.745575960   14.494393121   11.266226730   12.584882434
    0.752754591   14.506671971   11.274819044   12.594918882
    0.759933222   14.519092828   11.283509330   12.605070507
    0.767111853   14.531656466   11.292298082   12.615337914
    0.774290484   14.544363673   11.301185800   12.625721711
    0.781469115   14.557215247   11.310172992   12.636222521
    0.788647746   14.570211996   11.319260174   12.646840970
    0.795826377   14.583354744   11.328447867   12.657577698
    0.803005008   14.596644324   11.337736602   12.668433352
    0.810183639   14.610081581   11.347126916   12.679408588
    0.817362270   14.623667374   11.356619353   12.690504071
    0.824540902   14.637402575   11.366214467   12.701720479
    0.831719533   14.651288066   11.375912817   12.713058495
    0.838898164   14.665324743   11.385714973   12.724518814
    0.846076795   14.679513516   11.395621510   12.736102142
    0.853255426   14.693855308   11.405633012   12.747809193
    0.860434057   14.708351055   11.415750072   12.759640692
    0.867612688   14.723001704   11.425973290   12.771597375
    0.874791319   14.737808221   11.436303276   12.783679986
    0.881969950   14.752771581   11.446740648   12.795889283
    0.889148581   14.767892776   11.457286031   12.808226032
    0.896327212   14.783172811   11.467940059   12.820691011
    0.903505843   14.798612706   11.478703378   12.833285008
    0.910684474   14.814213495   11.489576639   12.846008825
    0.917863105   14.829976228   11.500560504   12.858863271
    0.925041736   14.845901969   11.511655644   12.871849169
    0.932220367   14.861991798   11.522862738   12.884967355
    0.939398998   14.878246810   11.534182477   12.898218673
    0.946577629   14.894668117   11.545615558   12.911603981
    0.953756260   14.911256845   11.557162692   12.925124150
    0.960934891   14.928014137   11.568824595   12.938780062
    0.968113523   14.944941155   11.580601998   12.952572612
    0.975292154   14.962039073   11.592495637   12.966502705
    0.982470785   14.979309085   11.604506261   12.980571264
    0.989649416   14.996752403   11.616634630   12.994779221
    0.996828047   15.014370253   11.628881513   13.009127521
    1.004006678   15.032163882   11.641247690   13.023617125
    1.011185309   15.050134553   11.653733951   13.038249005
    1.018363940   15.068283548   11.666341099   13.053024148
    1.025542571   15.086612168   11.679069947   13.067943555
    1.032721202   15.105121732   11.691921317   13.083008241
    1.039899833   15.123813579   11.704896047   13.098219235
    1.047078464   15.142689065   11.717994983   13.113577581
    1.054257095   15.161749570   11.731218983   13.129084338
    1.061435726   15.180996490   11.744568919   13.144740578
    1.068614357   15.200431244   11.758045673   13.160547391
    1.075792988   15.220055269   11.771650141   13.176505882
    1.082971619   15.239870026   11.785383229   13.192617169
    1.090150250   15.259876995   11.799245859   13.208882390
    1.097328881   15.280077679   11.813238963   13.225302696
    1.104507513   15.300473602   11.827363487   13.241879257
    1.111686144   15.321066312   11.841620391   13.258613257
    1.118864775   15.341857377   11.856010647   13.275505899
    1.126043406   15.362848392   11.870535241   13.292558402
    1.133222037   15.384040971   11.885195174   13.309772004
    1.140400668   15.405436756   11.899991459   13.327147960
    1.147579299   15.427037410   11.914925126   13.344687542
    1.154757930   15.448844624   11.929997217   13.362392043
    1.161936561   15.470860111   11.945208790   13.380262772
    1.169115192   15.493085611   11.960560917   13.398301058
    1.176293823   15.515522891   11.976054687   13.416508250
    1.183472454   15.538173742   11.991691203   13.434885717
    1.190651085   15.561039983   12.007471584   13.453434846
    1.197829716   15.584123462   12.023396964   13.472157045
    1.205008347   15.607426050   12.039468492   13.491053743
    1.212186978   15.630949645   12.055687328   13.510126387
    1.219365609   15.654696177   12.072054652   13.529376448
    1.226544240   15.678667617   12.088571684   13.548805424
    1.233722871   15.702865964   12.105239653   13.568414833
    1.240901503   15.727293232   12.122059785   13.588206209
    1.248080134   15.751951471   12.139033331   13.608181112
    1.255258765   15.776842762   12.156161560   13.628341125
    1.262437396   15.801969221   12.173445764   13.648687855
    1.269616027   15.827332997   12.190887251   13.669222933
    1.276794658   15.852936271   12.208487351   13.689948016
    1.283973289   15.878781257   12.226247411   13.710864784
    1.291151920   15.904870207   12.244168800   13.731974944
    1.298330551   15.931205405   12.262252905   13.753280226
    1.305509182   15.957789171   12.280501135   13.774782390
    1.312687813   15.984623864   12.298914919   13.796483221
    1.319866444   16.011711876   12.317495706   13.818384531
    1.327045075   16.039055640   12.336244971   13.840488159
    1.334223706   16.066657619   12.355164205   13.862795968
    1.341402337   16.094520303   12.374254925   13.885309842
    1.348580968   16.122646237   12.393518669   13.908031701
    1.355759599   16.151038059   12.412957001   13.930963538
    1.362938230   16.179698421   12.432571508   13.954107353
    1.370116861   16.208629975   12.452363797   13.977465147
    1.377295492   16.237835429   12.472335505   14.001038961
    1.384474124   16.267317542   12.492488288   14.024830876
    1.391652755   16.297079122   12.512823832   14.048843005
    1.398831386   16.327123022   12.533343847   14.073077495
    1.406010017   16.357452143   12.554050070   14.097536530
    1.413188648   16.388069434   12.574944263   14.122222325
    1.420367279   16.418977890   12.596028219   14.147137133
    1.427545910   16.450180560   12.617303754   14.172283242
    1.434724541   16.481680541   12.638772717   14.197662977
    1.441903172   16.513480982   12.660436983   14.223278701
    1.449081803   16.545585085   12.682298457   14.249132815
    1.456260434   16.577996108   12.704359075   14.275227759
    1.463439065   16.610717362   12.726620803   14.301566014
    1.470617696   16.643752215   12.749085638   14.328150099
    1.477796327   16.677104093   12.771755609   14.354982579
    1.484974958   16.710776480   12.794632778   14.382066056
    1.492153589   16.744772921   12.817719240   14.409403180
    1.499332220   16.779097022   12.841017122   14.436996643
    1.506510851   16.813752451   12.864528589   14.464849183
    1.513689482   16.848742941   12.888255838   14.492963582
    1.520868114   16.884072291   12.912201104   14.521342672
    1.528046745   16.919744366   12.936366657   14.549989331
    1.535225376   16.955763099   12.960754807   14.578906488
    1.542404007   16.992132495   12.985367898   14.608097119
    1.549582638   17.028856629   13.010208318   14.637564256
    1.556761269   17.065939650   13.035278491   14.667310978
    1.563939900   17.103385781   13.060580883   14.697340422
    1.571118531   17.141199321   13.086118001   14.727655777
    1.578297162   17.179384640   13.111892386   14.758260288
    1.585475793   17.217946167   13.137906604   14.789157256
    1.592654424   17.256888398   13.164163251   14.820350035
    1.599833055   17.296216011   13.190665067   14.851842034
    1.607011686   17.335933801   13.217414869   14.883636739
    1.614190317   17.376046558   13.244415404   14.915737730
    1.621368948   17.416559140   13.271669462   14.948148617
    1.628547579   17.457476487   13.299179904   14.980873040
    1.635726210   17.498803619   13.326949652   15.013914680
    1.642904841   17.540545701   13.354981678   15.047277339
    1.650083472   17.582708125   13.383279013   15.080965022
    1.657262104   17.625296283   13.411844738   15.114981702
    1.664440735   17.668315608   13.440681992   15.149331366
    1.671619366   17.711771661   13.469793966   15.184018088
    1.678797997   17.755670123   13.499183911   15.219046033
    1.685976628   17.800016799   13.528855137   15.254419455
    1.693155259   17.844817605   13.558811013   15.290142690
    1.700333890   17.890078579   13.589054971   15.326220157
    1.707512521   17.935805877   13.619590507   15.362656361
    1.714691152   17.982005780   13.650421180   15.399455891
    1.721869783   18.028684698   13.681550617   15.436623429
    1.729048414   18.075849167   13.712982512   15.474163745
    1.736227045   18.123505861   13.744720629   15.512081704
    1.743405676   18.171661589   13.776768804   15.550382267
    1.750584307   18.220323302   13.809130945   15.589070493
    1.757762938   18.269498098   13.841811037   15.628151542
    1.764941569   18.319193220   13.874813138   15.667630678
    1.772120200   18.369416067   13.908141388   15.707513272
    1.779298831   18.420174193   13.941800008   15.747804804
    1.786477462   18.471475317   13.975793300   15.788510865
    1.793656093   18.523327320   14.010125652   15.829637162
    1.800834725   18.575738253   14.044801536   15.871189521
    1.808013356   18.628716340   14.079825510   15.913173887
    1.815191987   18.682269977   14.115202220   15.955596333
    1.822370618   18.736407770   14.150936426   15.998463057
    1.829549249   18.791138535   14.187033001   16.041780393
    1.836727880   18.846471250   14.223496888   16.085554808
    1.843906511   18.902415088   14.260333123   16.129792906
    1.851085142   18.958979440   14.297546858   16.174501438
    1.858263773   19.016173912   14.335143352   16.219687301
    1.865442404   19.074008334   14.373127976   16.265357542
    1.872621035   19.132492763   14.411506217   16.311519366
    1.879799666   19.191637490   14.450283675   16.358180138
    1.886978297   19.251453047   14.489466074   16.405347388
    1.894156928   19.311950217   14.529059260   16.453028816
    1.901335559   19.373140040   14.569069205   16.501232298
    1.908514190   19.435033818   14.609502015   16.549965890
    1.915692821   19.497643129   14.650363927   16.599237834
    1.922871452   19.560979832   14.691661320   16.649056563
    1.930050083   19.625056079   14.733400714   16.699430710
    1.937228715   19.689884319   14.775588775   16.750369109
    1.944407346   19.755477314   14.818232324   16.801880807
    1.951585977   19.821848146   14.861338335   16.853975064
    1.958764608   19.889010227   14.904913943   16.906661367
    1.965943239   19.956977310   14.948966448   16.959949429
    1.973121870   20.025763500   14.993503313   17.013849189
    1.980300501   20.095383266   15.038532171   17.068370816
    1.987479132   20.165851469   15.084060865   17.123524782
    1.994657763   20.237183364   15.130097454   17.179321886
    2.001836394   20.309394596   15.176650144   17.235773112
    2.009015025   20.382501228   15.223727332   17.292889700
    2.016193656   20.456519761   15.271337632   17.350683201
    2.023372287   20.531467144   15.319489876   17.409165474
    2.030550918   20.607360796   15.368193117   17.468348690
    2.037729549   20.684218615   15.417456636   17.528245345
    2.044908180   20.762059002   15.467289951   17.588868266
    2.052086811   20.840900875   15.517702822   17.650230625
    2.059265442   20.920763694   15.568705265   17.712345953
    2.066444073   21.001667473   15.620307553   17.775228150
    2.073622705   21.083632809   15.672520232   17.838891503
    2.080801336   21.166680901   15.725354128   17.903350693
    2.087979967   21.250833573   15.778820358   17.968620819
    2.095158598   21.336113300   15.832930339   18.034717406
    2.102337229   21.422543229   15.887695795   18.101656421
    2.109515860   21.510147211   15.943128765   18.169454291
    2.116694491   21.598949829   15.999241587   18.238127928
    2.123873122   21.688976428   16.056046919   18.307694750
    2.131051753   21.780253143   16.113557891   18.378172712
    2.138230384   21.872806900   16.171788132   18.449580293
    2.145409015   21.966665527   16.230751535   18.521936518
    2.152587646   22.061857844   16.290462363   18.595261024
    2.159766277   22.158413510   16.350935271   18.669574007
    2.166944908   22.256363101   16.412185344   18.744896222
    2.174123539   22.355738248   16.474228152   18.821249171
    2.181302170   22.456571702   16.537079753   18.898655367
    2.188480801   22.558897284   16.600756688   18.977137827
    2.195659432   22.662749938   16.665276000   19.056720138
    2.202838063   22.768165900   16.730655337   19.137426737
    2.210016694   22.875182701   16.796912936   19.219282917
    2.217195326   22.983839093   16.864067533   19.302314811
    2.224373957   23.094175138   16.932138451   19.386549352
    2.231552588   23.206232365   17.001145625   19.472014259
    2.238731219   23.320053991   17.071109651   19.558738273
    2.245909850   23.435685158   17.142052076   19.646752149
    2.253088481   23.553172639   17.213995207   19.736087767
    2.260267112   23.672564468   17.286961834   19.826776978
    2.267445743   23.793910466   17.360975565   19.918852813
    2.274624374   23.917262194   17.436060899   20.012349598
    2.281803005   24.042673351   17.512243234   20.107303037
    2.288981636   24.170201464   17.589548907   20.203751158
    2.296160267   24.299905935   17.668005251   20.301733362
    2.303338898   24.431847160   17.747640600   20.401289655
    2.310517529   24.566088270   17.828484332   20.502461743
    2.317696160   24.702695349   17.910566882   20.605293512
    2.324874791   24.841737256   17.993919655   20.709830365
    2.332053422   24.983286046   18.078575465   20.816119473
    2.339232053   25.127417348   18.164569503   20.924210570
    2.346410684   25.274209780   18.251937885   21.034155388
    2.353589316   25.423745255   18.340717408   21.146007535
    2.360767947   25.576109479   18.430946570   21.259823030
    2.367946578   25.731392140   18.522665679   21.375660427
    2.375125209   25.889687445   18.615917023   21.493581067
    2.382303840   26.051094417   18.710744751   21.613649453
    2.389482471   26.215716449   18.807194812   21.735932866
    2.396661102   26.383661671   18.905315259   21.860501518
    2.403839733   26.555043145   19.005156397   21.987428796
    2.411018364   26.729979631   19.106770907   22.116791684
    2.418196995   26.908599166   19.210214022   22.248672666
    2.425375626   27.091036190   19.315543666   22.383158322
    2.432554257   27.277429520   19.422820622   22.520338351
    2.439732888   27.467926245   19.532108745   22.660307410
    2.446911519   27.662681575   19.643475117   22.803165319
    2.454090150   27.861859325   19.756990256   22.949017526
    2.461268781   28.065633106   19.872728500   23.097975429
    2.468447412   28.274187406   19.990768327   23.250156814
    2.475626043   28.487716808   20.111192072   23.405686344
    2.482804674   28.706428147   20.234087518   23.564696110
    2.489983306   28.930541769   20.359548389   23.727326218
    2.497161937   29.160290672   20.487672538   23.893725377
    2.504340568   29.395922330   20.618563302   24.064051499
    2.511519199   29.637699670   20.752330486   24.238472177
    2.518697830   29.885903231   20.889090963   24.417166058
    2.525876461   30.140837685   21.028970108   24.600326347
    2.533055092   30.402828936   21.172101320   24.788159566
    2.540233723   30.672221666   21.318626426   24.980884155
    2.547412354   30.949385726   21.468697083   25.178734311
    2.554590985   31.234718227   21.622475163   25.381962053
    2.561769616   31.528646251   21.780133851   25.590838659
    2.568948247   31.831630926   21.941859474   25.805656479
    2.576126878   32.144173921   22.107854840   26.026731089
    2.583305509   32.466816090   22.278337689   26.254403743
    2.590484140   32.800141323   22.453541302   26.489044282
    2.597662771   33.144784396   22.633718425   26.731054253
    2.604841402   33.501435786   22.819143447   26.980870384
    2.612020033   33.870848745   23.010114666   27.238969090
    2.619198664   34.253847157   23.206956992   27.505871648
    2.626377295   34.651333215   23.410025085   27.782148987
    2.633555927   35.064297349   23.619706994   28.068428212
    2.640734558   35.493830120   23.836428471   28.365400407
    2.647913189   35.941136924   24.060658816   28.673829171
    2.655091820   36.407553198   24.292916349   28.994560834
    2.662270451   36.894560581   24.533774369   29.328536603
    2.669449082   37.403810115   24.783869738   29.676806602
    2.676627713   37.937148426   25.043911569   30.040546407
    2.683806344   38.496648243   25.314693126   30.421077310
    2.690984975   39.084644997   25.597106092   30.819890282
    2.698163606   39.703780805   25.892156457   31.238674721
    2.705342237   40.357057589   26.200982693   31.679353986
    2.712520868   41.047902702   26.524880769   32.144130071
    2.719699499   41.780248071   26.865332518   32.635534320
    2.726878130   42.558628344   27.224042137   33.156491865
    2.734056761   43.388302475   27.602979460   33.710403388
    2.741235392   44.275410062   28.004434290   34.301250641
    2.748414023   45.227172910   28.431087003   34.933733801
    2.755592654   46.252131901   28.886098586   35.613427822
    2.762771285   47.360466493   29.373225109   36.346998274
    2.769949917   48.564418431   29.896961087   37.142489198
